StockPrice,StrikePrice,TimeToMaturity,RiskFreeRate,Volatility
43.708610696262625,50,0.04111489382986691,0.05,0.2
95.56428757689245,50,0.6400463071511426,0.05,0.2
75.87945476302646,50,0.32121242126556343,0.05,0.2
63.8792635777333,50,0.5134849842530558,0.05,0.2
24.041677639819287,50,0.9084908091868321,0.05,0.2
24.03950683025824,50,0.25679930685738617,0.05,0.2
15.227525095137953,50,0.41627909380527345,0.05,0.2
87.95585311974416,50,0.7579956271576181,0.05,0.2
64.1003510568888,50,0.23651018383670624,0.05,0.2
73.7265320016441,50,0.08621011073050505,0.05,0.2
11.85260448662222,50,0.29685393838463037,0.05,0.2
97.29188669457949,50,0.1696090743814644,0.05,0.2
84.91983767203796,50,0.9304006758191473,0.05,0.2
29.110519961044854,50,0.8100391757687728,0.05,0.2
26.364247048639054,50,0.6370697189453193,0.05,0.2
26.506405886809045,50,0.8727459842858405,0.05,0.2
37.381801866358394,50,0.8056353561301233,0.05,0.2
57.228078846901404,50,0.1947043582971755,0.05,0.2
48.87505167779042,50,0.893633408505078,0.05,0.2
36.21062261782377,50,0.5439488194964942,0.05,0.2
65.06676052501416,50,0.8093657536124219,0.05,0.2
22.554447458683764,50,0.8971303869242583,0.05,0.2
36.29301836816963,50,0.32482344022214527,0.05,0.2
42.97256589643225,50,0.11895140528239999,0.05,0.2
51.046298579533236,50,0.23565581091652227,0.05,0.2
80.66583652537122,50,0.43283671073999375,0.05,0.2
27.970640394252378,50,0.8198346182632682,0.05,0.2
56.28109945722505,50,0.86212327742378,0.05,0.2
63.31731119758382,50,0.016882609225878795,0.05,0.2
14.180537144799796,50,0.5156398295517901,0.05,0.2
64.67903667112945,50,0.4232368931172912,0.05,0.2
25.347171131856236,50,0.22988673236602294,0.05,0.2
15.854643368675156,50,0.128666713660346,0.05,0.2
95.39969835279999,50,0.3442390196895917,0.05,0.2
96.90688297671034,50,0.943480606873394,0.05,0.2
82.7557613304815,50,0.3299709027005477,0.05,0.2
37.41523922560336,50,0.5236027155259324,0.05,0.2
18.79049026057455,50,0.7059887693062261,0.05,0.2
71.58097238609412,50,0.36999330635550104,0.05,0.2
49.61372443656412,50,0.9720642618937511,0.05,0.2
20.983441136030095,50,0.9628228219926901,0.05,0.2
54.56592191001432,50,0.2592644728671105,0.05,0.2
13.094966900369656,50,0.5022760208334616,0.05,0.2
91.83883618709038,50,0.30786952671860196,0.05,0.2
33.290198344001524,50,0.2919920894336929,0.05,0.2
69.62700559185838,50,0.04651807788098747,0.05,0.2
38.053996848046985,50,0.6134686906400979,0.05,0.2
56.80612190600297,50,0.5076522329965728,0.05,0.2
59.203925140895166,50,0.06096396373748946,0.05,0.2
26.636900997297435,50,0.28585999959424535,0.05,0.2
97.26261649881027,50,0.9091832271069872,0.05,0.2
79.76195410250031,50,0.2471662717603027,0.05,0.2
94.55490474077702,50,0.15344592337031088,0.05,0.2
90.5344615384884,50,0.4945582326747874,0.05,0.2
63.810998092997664,50,0.9857939495694947,0.05,0.2
92.96868115208052,50,0.2496347187963854,0.05,0.2
17.964325184672756,50,0.6754141919318197,0.05,0.2
27.638457617723066,50,0.7640034191754304,0.05,0.2
14.070456001948425,50,0.24526116855247568,0.05,0.2
39.27972976869379,50,0.7309341851257409,0.05,0.2
44.98095607205338,50,0.3741053013920607,0.05,0.2
34.42141285965063,50,0.6359827722876437,0.05,0.2
84.58637582367363,50,0.6371944136532858,0.05,0.2
42.10779940242303,50,0.5404169372340109,0.05,0.2
35.28410587186427,50,0.09938687235386422,0.05,0.2
58.84264748424236,50,0.8369494706333456,0.05,0.2
22.683180247728636,50,0.32757226432201847,0.05,0.2
82.19772826786357,50,0.1946533252958557,0.05,0.2
16.709557931179376,50,0.050367390139216275,0.05,0.2
98.81982429404655,50,0.5949840137563595,0.05,0.2
79.50202923669917,50,0.6807887182238596,0.05,0.2
27.884411338075516,50,0.026421950638577593,0.05,0.2
10.496990541124216,50,0.5169721277162882,0.05,0.2
83.39152856093507,50,0.23423081744595858,0.05,0.2
73.61716094628554,50,0.6487210625053553,0.05,0.2
75.61064512368885,50,0.18262276471494154,0.05,0.2
79.41433120173512,50,0.6940283607214413,0.05,0.2
16.664018656068134,50,0.39286799283753204,0.05,0.2
42.261915568984534,50,0.9373626888493671,0.05,0.2
20.428215357261674,50,0.14614573470453332,0.05,0.2
87.67930832880342,50,0.34765568753975595,0.05,0.2
66.09683141448022,50,0.12233878602818317,0.05,0.2
39.78082223673843,50,0.9254466820957772,0.05,0.2
15.720251525742128,50,0.8785659598471712,0.05,0.2
37.9884089544096,50,0.26536221143800404,0.05,0.2
39.266498982407235,50,0.6633842055738373,0.05,0.2
75.66455605042577,50,0.8190499781992037,0.05,0.2
67.38017242196918,50,0.5596488034834677,0.05,0.2
89.84914683186939,50,0.5343540725724464,0.05,0.2
52.49934326457544,50,0.24943376799144718,0.05,0.2
20.763482134447152,50,0.10217174012784021,0.05,0.2
74.19203085006956,50,0.8982436003737935,0.05,0.2
78.47065437552077,50,0.9014138765916971,0.05,0.2
60.51494778125466,50,0.6367704427005353,0.05,0.2
79.38704619591049,50,0.3456394931382137,0.05,0.2
54.44160367279517,50,0.35571747886653426,0.05,0.2
57.045954644379464,50,0.728696122081537,0.05,0.2
48.47869165226947,50,0.8981391573530513,0.05,0.2
12.287721406968567,50,0.8882155600224662,0.05,0.2
19.7102284293974,50,0.7820767903990476,0.05,0.2
